==========
==========
F (Hz),Z,Phi,R,X,L,C
5.000000E+0,2.000000E+6,-2.000000E+2,-1.570000E-7,2.270000E-7,NaN,NaN
5.796000E+0,2.000000E+6,2.000000E+2,3.000000E-9,2.000000E-8,NaN,NaN
6.718000E+0,2.000000E+6,2.000000E+2,-2.000000E-9,4.200000E-8,NaN,NaN
7.788000E+0,2.000000E+6,2.000000E+2,1.500000E-8,6.000000E-8,NaN,NaN
9.028000E+0,2.000000E+6,2.000000E+2,-4.000000E-9,5.300000E-8,NaN,NaN
1.046500E+1,2.000000E+6,2.000000E+2,1.000000E-9,6.400000E-8,NaN,NaN
1.213000E+1,2.000000E+6,2.000000E+2,0.000000E+0,1.140000E-7,NaN,NaN
1.406100E+1,2.000000E+6,2.000000E+2,3.000000E-9,1.020000E-7,NaN,NaN
1.629900E+1,2.000000E+6,2.000000E+2,1.000000E-9,1.030000E-7,NaN,NaN
1.889400E+1,2.000000E+6,2.000000E+2,1.000000E-9,1.230000E-7,NaN,NaN
2.190100E+1,2.000000E+6,2.000000E+2,-1.000000E-9,1.330000E-7,NaN,NaN
2.538700E+1,2.000000E+6,2.000000E+2,1.000000E-9,1.660000E-7,NaN,NaN
2.942800E+1,2.000000E+6,2.000000E+2,0.000000E+0,1.880000E-7,NaN,NaN
3.411300E+1,2.000000E+6,2.000000E+2,1.000000E-9,2.140000E-7,NaN,NaN
3.954300E+1,2.000000E+6,2.000000E+2,1.000000E-9,2.400000E-7,NaN,NaN
4.583700E+1,2.000000E+6,2.000000E+2,1.000000E-9,2.840000E-7,NaN,NaN
5.313300E+1,2.000000E+6,2.000000E+2,1.000000E-9,3.300000E-7,NaN,NaN
6.159100E+1,2.000000E+6,2.000000E+2,-1.000000E-9,3.900000E-7,NaN,NaN
7.139500E+1,2.000000E+6,2.000000E+2,-2.000000E-9,4.550000E-7,NaN,NaN
8.275900E+1,2.000000E+6,-2.000000E+2,1.000000E-9,5.240000E-7,NaN,NaN
9.593200E+1,2.000000E+6,-2.000000E+2,8.000000E-9,5.910000E-7,NaN,NaN
1.112020E+2,2.000000E+6,-2.000000E+2,-2.000000E-9,7.020000E-7,NaN,NaN
1.289030E+2,1.186000E+6,-9.160000E+1,6.000000E-9,8.020000E-7,NaN,NaN
1.494220E+2,1.095000E+6,-8.890000E+1,5.000000E-9,9.340000E-7,NaN,NaN
