==========
==========
F (Hz),Z,Phi,R,X,L,C
5.000000E+0,2.600000E-8,2.000000E+2,2.000000E-9,2.600000E-8,NaN,NaN
5.796000E+0,3.100000E-8,2.000000E+2,0.000000E+0,3.200000E-8,NaN,NaN
6.718000E+0,3.700000E-8,2.000000E+2,2.000000E-9,3.800000E-8,NaN,NaN
7.788000E+0,4.700000E-8,2.000000E+2,2.000000E-9,4.600000E-8,NaN,NaN
9.028000E+0,5.200000E-8,2.000000E+2,1.000000E-9,5.200000E-8,NaN,NaN
1.046500E+1,6.100000E-8,2.000000E+2,0.000000E+0,6.000000E-8,NaN,NaN
1.213000E+1,7.200000E-8,2.000000E+2,2.000000E-9,7.300000E-8,NaN,NaN
1.406100E+1,8.300000E-8,2.000000E+2,1.000000E-9,8.400000E-8,NaN,NaN
1.629900E+1,9.700000E-8,2.000000E+2,2.000000E-9,9.600000E-8,NaN,NaN
1.889400E+1,1.120000E-7,2.000000E+2,2.000000E-9,1.130000E-7,NaN,NaN
2.190100E+1,1.310000E-7,2.000000E+2,2.000000E-9,1.300000E-7,NaN,NaN
2.538700E+1,1.520000E-7,2.000000E+2,2.000000E-9,1.510000E-7,NaN,NaN
2.942800E+1,1.750000E-7,2.000000E+2,2.000000E-9,1.750000E-7,NaN,NaN
3.411300E+1,2.040000E-7,2.000000E+2,2.000000E-9,2.030000E-7,NaN,NaN
3.954300E+1,2.350000E-7,2.000000E+2,2.000000E-9,2.360000E-7,NaN,NaN
4.583700E+1,2.730000E-7,2.000000E+2,3.000000E-9,2.730000E-7,NaN,NaN
5.313300E+1,3.160000E-7,2.000000E+2,3.000000E-9,3.160000E-7,NaN,NaN
6.159100E+1,3.670000E-7,2.000000E+2,3.000000E-9,3.660000E-7,NaN,NaN
7.139500E+1,4.240000E-7,2.000000E+2,4.000000E-9,4.250000E-7,NaN,NaN
8.275900E+1,4.920000E-7,2.000000E+2,4.000000E-9,4.920000E-7,NaN,NaN
9.593200E+1,5.700000E-7,8.950000E+1,5.000000E-9,5.700000E-7,NaN,NaN
