==========
==========
F (Hz),Z,Theta,R,X,L,C
5.000000E+0,2.666667E-9,2.000000E+2,0.000000E+0,3.000000E-9,NaN,NaN
5.796000E+0,2.666667E-9,2.000000E+2,-6.666667E-10,2.666667E-9,NaN,NaN
6.718000E+0,3.333333E-9,2.000000E+2,3.333333E-10,3.666667E-9,NaN,NaN
7.788000E+0,4.000000E-9,2.000000E+2,3.333333E-10,4.000000E-9,NaN,NaN
9.028000E+0,4.333333E-9,2.000000E+2,3.333333E-10,4.666667E-9,NaN,NaN
1.046500E+1,6.000000E-9,2.000000E+2,3.333333E-10,5.000000E-9,NaN,NaN
1.213000E+1,5.666667E-9,2.000000E+2,3.333333E-10,6.333333E-9,NaN,NaN
1.406100E+1,7.000000E-9,2.000000E+2,3.333333E-10,6.000000E-9,NaN,NaN
1.629900E+1,8.333333E-9,2.000000E+2,0.000000E+0,8.000000E-9,NaN,NaN
1.889400E+1,1.000000E-8,2.000000E+2,0.000000E+0,1.000000E-8,NaN,NaN
2.190100E+1,1.133333E-8,2.000000E+2,-3.333333E-10,1.100000E-8,NaN,NaN
2.538700E+1,1.266667E-8,2.000000E+2,0.000000E+0,1.300000E-8,NaN,NaN
2.942800E+1,1.500000E-8,2.000000E+2,3.333333E-10,1.533333E-8,NaN,NaN
3.411300E+1,1.700000E-8,2.000000E+2,6.666667E-10,1.766667E-8,NaN,NaN
3.954300E+1,2.000000E-8,2.000000E+2,0.000000E+0,2.000000E-8,NaN,NaN
4.583700E+1,1.600000E-8,1.333333E+2,0.000000E+0,2.366667E-8,NaN,NaN
5.313300E+1,2.733333E-8,2.000000E+2,0.000000E+0,2.733333E-8,NaN,NaN
6.159100E+1,3.166667E-8,2.000000E+2,0.000000E+0,3.200000E-8,NaN,NaN
7.139500E+1,3.700000E-8,2.000000E+2,0.000000E+0,3.700000E-8,NaN,NaN
8.275900E+1,4.300000E-8,2.000000E+2,0.000000E+0,4.300000E-8,NaN,NaN
9.593200E+1,5.000000E-8,2.000000E+2,0.000000E+0,4.966667E-8,NaN,NaN
1.112020E+2,5.733333E-8,2.000000E+2,0.000000E+0,5.766667E-8,NaN,NaN
1.289030E+2,6.700000E-8,2.000000E+2,0.000000E+0,6.700000E-8,NaN,NaN
1.494220E+2,7.733333E-8,2.000000E+2,0.000000E+0,7.733333E-8,NaN,NaN
1.732060E+2,8.966667E-8,2.000000E+2,0.000000E+0,8.966667E-8,NaN,NaN
2.007770E+2,1.040000E-7,2.000000E+2,0.000000E+0,1.040000E-7,NaN,NaN
2.327360E+2,1.203333E-7,2.000000E+2,0.000000E+0,1.206667E-7,NaN,NaN
2.697820E+2,1.396667E-7,2.000000E+2,0.000000E+0,1.400000E-7,NaN,NaN
3.127250E+2,1.620000E-7,2.000000E+2,0.000000E+0,1.620000E-7,NaN,NaN
3.625040E+2,1.876667E-7,2.000000E+2,0.000000E+0,1.876667E-7,NaN,NaN
4.202060E+2,2.176667E-7,2.000000E+2,0.000000E+0,2.173333E-7,NaN,NaN
4.870930E+2,2.520000E-7,2.000000E+2,0.000000E+0,2.520000E-7,NaN,NaN
5.646270E+2,2.920000E-7,2.000000E+2,0.000000E+0,2.923333E-7,NaN,NaN
6.545020E+2,3.390000E-7,2.000000E+2,0.000000E+0,3.390000E-7,NaN,NaN
7.586840E+2,3.930000E-7,2.000000E+2,0.000000E+0,3.930000E-7,NaN,NaN
8.794490E+2,4.550000E-7,2.000000E+2,0.000000E+0,4.550000E-7,NaN,NaN
1.019437E+3,5.280000E-7,9.004000E+1,0.000000E+0,5.280000E-7,NaN,NaN
