Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.73)_x,Fit R4 (k=1.73)_y,Data R5_x,Data R5_y,Fit R5 (k=1.80)_x,Fit R5 (k=1.80)_y
20.,0.4311270823,20.,0.4196325409,20.,0.0386373205,20.,0.0370497479,20.,0.7587204185,20.,0.7521513924,20.,0.8233678806,20.,0.8171376255,20.,0.1145320555,20.,0.1121946218
30.,0.8644116311,20.5050505051,0.4401312455,30.,0.0704676268,20.5050505051,0.0386668721,30.,1.4739130087,20.5050505051,0.7852383138,30.,1.6134762325,20.5050505051,0.8532128807,30.,0.2237984305,20.5050505051,0.1173557307
40.,1.5888634008,21.0101010101,0.4610958628,40.,0.1231471894,21.0101010101,0.0403126503,40.,2.5563078885,21.0101010101,0.8189224150,40.,2.7836323555,21.0101010101,0.8899447626,40.,0.3978611784,21.0101010101,0.122619991
50.,2.5186737145,21.5151515152,0.4825254009,50.,0.1727585614,21.5151515152,0.0419868831,50.,3.6617874755,21.5151515152,0.8531997303,50.,3.9685090269,21.5151515152,0.9273290074,50.,0.5900210586,21.5151515152,0.1279869103
60.,3.3035471071,22.0202020202,0.5044188933,60.,0.2334764928,22.0202020202,0.0436893771,60.,4.9058781149,22.0202020202,0.8880664135,60.,5.3931148094,22.0202020202,0.9653614791,60.,0.7992778373,22.0202020202,0.1334560102
70.,4.6888056384,22.5252525253,0.5267753981,70.,0.3388284221,22.5252525253,0.0454199449,70.,6.6155227188,22.5252525253,0.9235187319,70.,7.2476342445,22.5252525253,1.0040381635,70.,1.0900193621,22.5252525253,0.1390268257
,,23.0303030303,0.5495939964,,,23.0303030303,0.0471784043,,,23.0303030303,0.9595530602,,,23.0303030303,1.0433551609,,,23.0303030303,0.1446989041
,,23.5353535354,0.5728737916,,,23.5353535354,0.0489645784,,,23.5353535354,0.9961658753,,,23.5353535354,1.0833086813,,,23.5353535354,0.1504718050
,,24.0404040404,0.5966139081,,,24.0404040404,0.0507782952,,,24.0404040404,1.0333537511,,,24.0404040404,1.1238950386,,,24.0404040404,0.1563450992
,,24.5454545455,0.6208134906,,,24.5454545455,0.0526193874,,,24.5454545455,1.0711133539,,,24.5454545455,1.1651106456,,,24.5454545455,0.1623183685
