Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.70)_x,Fit R2 (k=1.70)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.73)_x,Fit R4 (k=1.73)_y,Data R5_x,Data R5_y,Fit R5 (k=1.81)_x,Fit R5 (k=1.81)_y
20.,0.4311270823,20.,0.4196325409,20.,0.0386975526,20.,0.0373861234,20.,0.7563996124,20.,0.7477265739,20.,0.8233678806,20.,0.8171376255,20.,0.1146357081,20.,0.1124100556
30.,0.8644116311,20.5050505051,0.4401312455,30.,0.0711547737,20.5050505051,0.0390087243,30.,1.469443603,20.5050505051,0.7807642556,30.,1.6134762325,20.5050505051,0.8532128807,30.,0.2243951375,20.5050505051,0.1175876197
40.,1.5888634008,21.0101010101,0.4610958628,40.,0.1248039952,21.0101010101,0.0406596914,40.,2.5468502587,21.0101010101,0.8144044162,40.,2.7836323555,21.0101010101,0.8899447626,40.,0.3994606232,21.0101010101,0.1228689544
50.,2.5186737145,21.5151515152,0.4825254009,50.,0.1706948724,21.5151515152,0.0423388209,50.,3.6490756249,21.5151515152,0.8486431635,50.,3.9685090269,21.5151515152,0.9273290074,50.,0.5929769411,21.5151515152,0.12825357
60.,3.3035471071,22.0202020202,0.5044188933,60.,0.2387208894,22.0202020202,0.0440459152,60.,4.9089955369,22.0202020202,0.8834767219,60.,5.3931148094,22.0202020202,0.9653614791,60.,0.8067057103,22.0202020202,0.1337409906
70.,4.6888056384,22.5252525253,0.5267753981,70.,0.3314875603,22.5252525253,0.0457807826,70.,6.6810536738,22.5252525253,0.9189014269,70.,7.2476342445,22.5252525253,1.0040381635,70.,1.0893963126,22.5252525253,0.1393307536
,,23.0303030303,0.5495939964,,,23.0303030303,0.0475432369,,,23.0303030303,0.9549137184,,,23.0303030303,1.0433551609,,,23.0303030303,0.1450224089
,,23.5353535354,0.5728737916,,,23.5353535354,0.0493330975,,,23.5353535354,0.9915101363,,,23.5353535354,1.0833086813,,,23.5353535354,0.1508155181
,,24.0404040404,0.5966139081,,,24.0404040404,0.0511501887,,,24.0404040404,1.0286873152,,,24.0404040404,1.1238950386,,,24.0404040404,0.1567096544
,,24.5454545455,0.6208134906,,,24.5454545455,0.0529943395,,,24.5454545455,1.0664419801,,,24.5454545455,1.1651106456,,,24.5454545455,0.1627044016
,,25.0505050505,0.6454717031,,,25.0505050505,0.0548653839,,,25.0505050505,1.1047709417,,,25.0505050505,1.2069520094,,,25.0505050505,0.1687993539
,,25.5555555556,0.6705877281,,,25.5555555556,0.0567631598,,,25.5555555556,1.1436710931,,,25.5555555556,1.2494157269,,,25.5555555556,0.1749941153
,,26.0606060606,0.6961607658,,,26.0606060606,0.0586875096,,,26.0606060606,1.1831394054,,,26.0606060606,1.2924984813,,,26.0606060606,0.1812882995
,,26.5656565657,0.7221900335,,,26.5656565657,0.0606382795,,,26.5656565657,1.2231729248,,,26.5656565657,1.3361970374,,,26.5656565657,0.1876815287
,,27.0707070707,0.7486747647,,,27.0707070707,0.0626153197,,,27.0707070707,1.2637687692,,,27.0707070707,1.3805082390,,,27.0707070707,0.1941734342
,,27.5757575758,0.7756142088,,,27.5757575758,0.0646184839,,,27.5757575758,1.3049241247,,,27.5757575758,1.4254290047,,,27.5757575758,0.2007636553
,,28.0808080808,0.8030076300,,,28.0808080808,0.0666476294,,,28.0808080808,1.3466362436,,,28.0808080808,1.4709563254,,,28.0808080808,0.2074518395
,,28.5858585859,0.8308543073,,,28.5858585859,0.0687026167,,,28.5858585859,1.3889024408,,,28.5858585859,1.5170872609,,,28.5858585859,0.2142376417
,,29.0909090909,0.8591535334,,,29.0909090909,0.0707833096,,,29.0909090909,1.4317200919,,,29.0909090909,1.5638189374,,,29.0909090909,0.2211207243
,,29.595959596,0.8879046147,,,29.595959596,0.0728895751,,,29.595959596,1.4750866305,,,29.595959596,1.6111485446,,,29.595959596,0.2281007566
,,30.1010101010,0.9171068704,,,30.1010101010,0.075021283,,,30.1010101010,1.5189995461,,,30.1010101010,1.6590733337,,,30.1010101010,0.2351774147
,,30.6060606061,0.9467596324,,,30.6060606061,0.077178306,,,30.6060606061,1.5634563818,,,30.6060606061,1.7075906145,,,30.6060606061,0.2423503815
,,31.1111111111,0.9768622444,,,31.1111111111,0.0793605195,,,31.1111111111,1.6084547323,,,31.1111111111,1.7566977533,,,31.1111111111,0.2496193459
,,31.6161616162,1.007414062,,,31.6161616162,0.0815678017,,,31.6161616162,1.6539922422,,,31.6161616162,1.8063921714,,,31.6161616162,0.2569840029
,,32.1212121212,1.0384144521,,,32.1212121212,0.0838000331,,,32.1212121212,1.7000666039,,,32.1212121212,1.8566713421,,,32.1212121212,0.2644440535
,,32.6262626263,1.0698627924,,,32.6262626263,0.0860570968,,,32.6262626263,1.7466755561,,,32.6262626263,1.9075327897,,,32.6262626263,0.2719992042
,,33.1313131313,1.1017584712,,,33.1313131313,0.0883388783,,,33.1313131313,1.7938168821,,,33.1313131313,1.9589740873,,,33.1313131313,0.2796491672
,,33.6363636364,1.1341008869,,,33.6363636364,0.0906452652,,,33.6363636364,1.8414884082,,,33.6363636364,2.0109928551,,,33.6363636364,0.2873936596
,,34.1414141414,1.1668894481,,,34.1414141414,0.0929761475,,,34.1414141414,1.8896880022,,,34.1414141414,2.0635867589,,,34.1414141414,0.295232404
,,34.6464646465,1.2001235725,,,34.6464646465,0.0953314171,,,34.6464646465,1.9384135722,,,34.6464646465,2.1167535086,,,34.6464646465,0.3031651276
