Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.80)_x,Fit R5 (k=1.80)_y
20.,0.4311270823,20.,0.4196325409,20.,0.0386373205,20.,0.0370497479,20.,0.7526301047,20.,0.7441217424,20.,0.8112915255,20.,0.8047283417,20.,0.1144907540,20.,0.1123545128
30.,0.8644116311,20.5050505051,0.4401312455,30.,0.0704676268,20.5050505051,0.0386668721,30.,1.4620604245,20.5050505051,0.7769710293,30.,1.5929408574,20.5050505051,0.8405960353,30.,0.2247482994,20.5050505051,0.1175089177
40.,1.5888634008,21.0101010101,0.4610958628,40.,0.1231471894,21.0101010101,0.0403126503,40.,2.5313301262,21.0101010101,0.8104181215,40.,2.7798087535,21.0101010101,0.8771311852,40.,0.3959667893,21.0101010101,0.1227657188
50.,2.5186737145,21.5151515152,0.4825254009,50.,0.1727585614,21.5151515152,0.0419868831,50.,3.6261028494,21.5151515152,0.8444591351,50.,3.9817559859,21.5151515152,0.9143297192,50.,0.5887348441,21.5151515152,0.1281244155
60.,3.3035471071,22.0202020202,0.5044188933,60.,0.2334764928,22.0202020202,0.0436893771,60.,4.8782298905,22.0202020202,0.8790903032,60.,5.4083075735,22.0202020202,0.9521876861,60.,0.7938755215,22.0202020202,0.1335845213
70.,4.6888056384,22.5252525253,0.5267753981,70.,0.3388284221,22.5252525253,0.0454199449,70.,6.6357126565,22.5252525253,0.9143079692,70.,7.2613177307,22.5252525253,0.9907012488,70.,1.0872555589,22.5252525253,0.1391455635
,,23.0303030303,0.5495939964,,,23.0303030303,0.0471784043,,,23.0303030303,0.9501085813,,,23.0303030303,1.0298666791,,,23.0303030303,0.144807082
,,23.5353535354,0.5728737916,,,23.5353535354,0.0489645784,,,23.5353535354,0.9864886875,,,23.5353535354,1.0696803518,,,23.5353535354,0.1505686291
,,24.0404040404,0.5966139081,,,24.0404040404,0.0507782952,,,24.0404040404,1.0234449302,,,24.0404040404,1.1101387399,,,24.0404040404,0.1564297686
,,24.5454545455,0.6208134906,,,24.5454545455,0.0526193874,,,24.5454545455,1.0609740421,,,24.5454545455,1.15123841,,,24.5454545455,0.1623900756
,,25.0505050505,0.6454717031,,,25.0505050505,0.0544876921,,,25.0505050505,1.0990728418,,,25.0505050505,1.1929760176,,,25.0505050505,0.1684491356
,,25.5555555556,0.6705877281,,,25.5555555556,0.0563830507,,,25.5555555556,1.1377382298,,,25.5555555556,1.2353483036,,,25.5555555556,0.1746065444
