Energy (eV),Absorption (OD),EA 20 kV/cm (mOD),EA 30 kV/cm (mOD),EA 40 kV/cm (mOD),EA 50 kV/cm (mOD),EA 60 kV/cm (mOD),EA 70 kV/cm (mOD),EA 80 kV/cm (mOD)
3.5424055142857145,0.6817736522815115,-1.529659015846678,-5.436693177397144,-2.0470064726550783,-6.018776965203963,-2.702892336706353,-16.39208584519809,-8.71496452719482
3.532313190883191,0.7060469033723149,-0.9690194154745799,-0.5329584046893735,-3.6072465720922904,-4.312105907564966,-2.880724584751495,-2.7795823426819064,-7.632330379926738
3.522278210227273,0.755251482401948,-2.789786663699275,-0.66954655266662,-3.4430492340541203,-4.6840899320105365,-2.8618977798968532,-5.985506837038674,-5.1579536849850545
3.512300084985836,0.8257011368873374,-0.04366874787517058,1.4891513592368764,-2.8497522311488224,-1.897827743972877,-3.5875708369531494,-5.617596696829888,-5.096357046578658
3.5023783333333336,0.8908188149408133,2.5859421661491804,0.4079300167757321,-1.9696761640567404,-5.023140825639442,-3.9312855554963675,-4.886444107397899,-4.230119157572266
3.49251247887324,0.9498138765463296,1.5113406208280902,-1.7065814101949024,-1.3210885985224665,-5.0165315227036045,-4.111052142556768,-4.787214493879677,-5.780472998934498
3.482702050561798,1.0035954062951487,0.8150547217854055,-1.4080262712515113,-4.340567412765093,-2.846638829171038,-3.153068311140294,-4.221020598231503,-3.830701640569256
3.4729465826330532,1.0510063433559738,1.0285731148039696,-1.0841284807686549,-3.465809382481246,-3.4586037375975187,-2.0445104749990857,-4.192786849694977,-4.714292287024493
3.46324561452514,1.0973197880395698,0.9669719970081178,-0.4492369636083557,-1.3453966766959662,-3.3784364893043106,-4.13902552907142,-4.774686120144486,-3.7349403291739627
3.4535986908077994,1.1448539389681003,-0.5138702913615489,-1.3766085358622193,-2.469444867516699,-3.138562716597503,-2.570008608982358,-3.668965483391263,-3.9060616353923368
3.4440053611111114,1.1838833236030173,-1.268921316504558,-2.062941286528437,-1.2148026104322205,-1.7261528257962837,-2.7100498038440533,-3.0188094491856887,-3.7879069869722617
3.4344651800554016,1.2070304290476521,0.7370065270248712,-2.1444811320850143,-1.5300966168628205,-1.9542135004908308,-3.633903024452002,-3.1566375143524685,-3.464876120823463
