Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.83)_x,Fit R5 (k=1.83)_y
20.,0.4311270823,20.,0.4196325409,20.,0.0386373205,20.,0.0370497479,20.,0.7587204185,20.,0.7521513924,20.,0.8132002379,20.,0.8068990354,20.,0.1109106524,20.,0.1099057875
30.,0.8644116311,20.5050505051,0.4401312455,30.,0.0704676268,20.5050505051,0.0386668721,30.,1.4739130087,20.5050505051,0.7852383138,30.,1.5976749781,20.5050505051,0.842849753,30.,0.2243951375,20.5050505051,0.1150381987
40.,1.5888634008,21.0101010101,0.4610958628,40.,0.1231471894,21.0101010101,0.0403126503,40.,2.5563078885,21.0101010101,0.8189224150,40.,2.7871155534,21.0101010101,0.8794688828,40.,0.3994606232,21.0101010101,0.1202766324
50.,2.5186737145,21.5151515152,0.4825254009,50.,0.1727585614,21.5151515152,0.0419868831,50.,3.6617874755,21.5151515152,0.8531997303,50.,3.9878700639,21.5151515152,0.9167523364,50.,0.5929769411,21.5151515152,0.1256206511
60.,3.3035471071,22.0202020202,0.5044188933,60.,0.2334764928,22.0202020202,0.0436893771,60.,4.9058781149,22.0202020202,0.8880664135,60.,5.4171952320,22.0202020202,0.9546961466,60.,0.8067057103,22.0202020202,0.1310698295
70.,4.6888056384,22.5252525253,0.5267753981,70.,0.3388284221,22.5252525253,0.0454199449,70.,6.6155227188,22.5252525253,0.9235187319,70.,7.2772566654,22.5252525253,0.9932964610,70.,1.0945453058,22.5252525253,0.1366237539
,,23.0303030303,0.5495939964,,,23.0303030303,0.0471784043,,,23.0303030303,0.9595530602,,,23.0303030303,1.0325495366,,,23.0303030303,0.1422820213
,,23.5353535354,0.5728737916,,,23.5353535354,0.0489645784,,,23.5353535354,0.9961658753,,,23.5353535354,1.0724517338,,,23.5353535354,0.1480442394
,,24.0404040404,0.5966139081,,,24.0404040404,0.0507782952,,,24.0404040404,1.0333537511,,,24.0404040404,1.1129995117,,,24.0404040404,0.1539100258
,,24.5454545455,0.6208134906,,,24.5454545455,0.0526193874,,,24.5454545455,1.0711133539,,,24.5454545455,1.1541894233,,,24.5454545455,0.1598790074
,,25.0505050505,0.6454717031,,,25.0505050505,0.0544876921,,,25.0505050505,1.1094414381,,,25.0505050505,1.1960181112,,,25.0505050505,0.1659508203
