Experimental EA_x,Experimental EA_y,FK Fit Result_x,FK Fit Result_y,FK Fit Result_x,FK Fit Result_y
2.7555555556,0.0015321919,2.7555555556,-0.0011345675,2.7555555556,-0.0011345675
2.7433628319,0.0009006606,2.7433628319,-0.0015748425,2.7433628319,-0.0015748425
2.7312775330,0.0005590233,2.7312775330,-0.0017563031,2.7312775330,-0.0017563031
2.7192982456,0.0004411266,2.7192982456,-0.0012381133,2.7192982456,-0.0012381133
2.7074235808,0.0004808168,2.7074235808,-0.0007258022,2.7074235808,-0.0007258022
2.6956521739,0.0006119406,2.6956521739,-0.0002400897,2.6956521739,-0.0002400897
2.683982684,0.0007717213,2.683982684,0.0005590062,2.683982684,0.0005590062
2.6724137931,0.0009042657,2.6724137931,0.0011569289,2.6724137931,0.0011569289
2.6609442060,0.0007771562,2.6609442060,0.0018423031,2.6609442060,0.0018423031
2.6495726496,0.0006070529,2.6495726496,0.0021565199,2.6495726496,0.0021565199
2.6382978723,-0.0001554819,2.6382978723,0.0001253691,2.6382978723,0.0001253691
2.6271186441,-0.0007866218,2.6271186441,-0.0011355044,2.6271186441,-0.0011355044
2.6160337553,-0.0011491246,2.6160337553,-0.0003608911,2.6160337553,-0.0003608911
2.6050420168,-0.0016005146,2.6050420168,-0.0009079807,2.6050420168,-0.0009079807
2.5941422594,-0.0019579104,2.5941422594,-0.0019755683,2.5941422594,-0.0019755683
2.5833333333,-0.001950441,2.5833333333,-0.0018670753,2.5833333333,-0.0018670753
2.5726141079,-0.0017598679,2.5726141079,-0.0013734054,2.5726141079,-0.0013734054
2.5619834711,-0.0013499805,2.5619834711,-0.0003018103,2.5619834711,-0.0003018103
2.5514403292,-0.0008636689,2.5514403292,0.0013360756,2.5514403292,0.0013360756
2.5409836066,-0.0005978095,2.5409836066,0.0009563095,2.5409836066,0.0009563095
2.5306122449,-0.0006492708,2.5306122449,0.000086727,2.5306122449,0.000086727
2.5203252033,-0.0003326042,2.5203252033,0.0015802884,2.5203252033,0.0015802884
2.5101214575,-0.0004795797,2.5101214575,0.0014803953,2.5101214575,0.0014803953
2.5,-0.0008727955,2.5,-0.0004979248,2.5,-0.0004979248
2.4899598394,-0.0010624737,2.4899598394,-0.0003363576,2.4899598394,-0.0003363576
2.48,-0.0011581047,2.48,-0.000001332,2.48,-0.000001332
2.4701195219,-0.0014738138,2.4701195219,-0.0013082574,2.4701195219,-0.0013082574
2.4603174603,-0.0014418966,2.4603174603,-0.0016579096,2.4603174603,-0.0016579096
2.4505928854,-0.001218061,2.4505928854,-0.0012103738,2.4505928854,-0.0012103738
2.4409448819,-0.0008817634,2.4409448819,-0.0011003883,2.4409448819,-0.0011003883
2.4313725490,-0.0003468446,2.4313725490,0.0003721257,2.4313725490,0.0003721257
2.421875,0.0002371082,2.421875,0.0018188943,2.421875,0.0018188943
2.4124513619,0.0003325065,2.4124513619,0.0001824644,2.4124513619,0.0001824644
2.4031007752,0.0004287973,2.4031007752,-0.0017575357,2.4031007752,-0.0017575357
2.3938223938,0.0009196508,2.3938223938,-0.0013441015,2.3938223938,-0.0013441015
2.3846153846,0.0015151321,2.3846153846,-0.0018008344,2.3846153846,-0.0018008344
2.3754789272,0.0021897946,2.3754789272,-0.0034062884,2.3754789272,-0.0034062884
2.3664122137,0.0035173610,2.3664122137,-0.0039774674,2.3664122137,-0.0039774674
2.3574144487,0.0051924400,2.3574144487,-0.0044745804,2.3574144487,-0.0044745804
2.3484848485,0.0075412752,2.3484848485,-0.0029864013,2.3484848485,-0.0029864013
2.3396226415,0.0104679452,2.3396226415,0.0012362000,2.3396226415,0.0012362000
2.3308270677,0.0130771432,2.3308270677,0.0044881951,2.3308270677,0.0044881951
2.3220973783,0.0151041550,2.3220973783,0.006031528,2.3220973783,0.006031528
2.3134328358,0.0163195895,2.3134328358,0.0081824888,2.3134328358,0.0081824888
2.3048327138,0.0166632239,2.3048327138,0.0115306491,2.3048327138,0.0115306491
2.2962962963,0.0153913404,2.2962962963,0.0133321097,2.2962962963,0.0133321097
2.2878228782,0.0123500665,2.2878228782,0.0121512318,2.2878228782,0.0121512318
2.2794117647,0.0076794019,2.2794117647,0.0083006103,2.2794117647,0.0083006103
